minutes_watched,clv,region_western_europe,region_anglosphere,region_rest,channel_facebook,channel_friend,channel_google,channel_instagram,channel_linkedin,channel_other,channel_twitter,channel_youtube
714.0,184.44,0,0,1,0,0,0,0,0,0,0,1
65.0,129.6,0,0,1,0,0,1,0,0,0,0,0
2512.0,174.0,0,0,1,0,0,0,0,0,0,0,1
12723.0,373.73,0,0,1,0,0,0,0,0,0,0,1
7207.0,173.5,0,1,0,0,0,0,0,0,1,0,0
14553.0,441.9,1,0,0,0,0,1,0,0,0,0,0
1394.0,240.0,0,0,1,0,0,0,0,0,0,0,1
3767.0,174.0,0,0,1,0,0,0,0,0,0,0,1
292.0,187.95,1,0,0,0,0,0,0,0,0,0,1
14621.0,18.0,0,0,1,0,0,0,0,1,0,0,0
913.0,184.14,1,0,0,0,0,0,0,1,0,0,0
133.0,62.57,0,0,1,0,1,0,0,0,0,0,0
2085.0,273.0,0,1,0,0,0,0,0,0,0,0,1
643.0,174.0,0,1,0,0,0,1,0,0,0,0,0
8289.0,211.44,0,0,1,0,0,0,0,0,0,0,1
1164.0,149.99,1,0,0,0,0,0,0,0,0,0,1
186.0,62.58,0,0,1,0,0,1,0,0,0,0,0
1.0,149.99,0,1,0,0,0,1,0,0,0,0,0
686.0,149.99,0,0,1,0,0,0,0,0,0,0,1
901.0,133.0,0,1,0,0,0,1,0,0,0,0,0
1750.0,173.45,0,1,0,0,0,0,0,0,0,0,1
89.0,184.51,0,1,0,0,0,1,0,0,0,0,0
461.0,184.44,0,1,0,0,1,0,0,0,0,0,0
5156.0,106.1,0,1,0,0,0,0,0,1,0,0,0
41.0,62.58,0,0,1,0,0,0,1,0,0,0,0
1653.0,91.5,0,0,1,0,0,0,0,0,0,0,1
1606.0,149.8,1,0,0,0,0,1,0,0,0,0,0
631.0,240.0,0,1,0,0,1,0,0,0,0,0,0
1614.0,149.99,0,1,0,0,0,1,0,0,0,0,0
1028.0,149.98,0,0,1,0,0,1,0,0,0,0,0
1675.0,119.0,0,0,1,0,0,0,0,1,0,0,0
918.0,68.36,0,0,1,0,1,0,0,0,0,0,0
1861.0,149.99,0,1,0,0,0,0,0,0,0,0,1
2595.0,149.66,0,0,1,0,0,0,0,0,0,0,1
2239.0,149.99,0,0,1,0,0,0,0,0,0,0,1
203.0,149.99,0,1,0,0,0,1,0,0,0,0,0
152.0,149.99,0,0,1,0,0,0,0,1,0,0,0
1055.0,149.99,0,0,1,0,0,0,0,0,0,0,1
653.0,30.0,0,0,1,0,0,0,0,0,0,0,1
914.0,149.99,0,1,0,0,0,0,0,1,0,0,0
380.0,149.99,0,1,0,0,0,1,0,0,0,0,0
1379.0,149.99,0,0,1,0,1,0,0,0,0,0,0
674.0,149.99,0,0,1,0,0,0,0,0,0,0,1
1743.0,149.99,0,1,0,0,0,0,0,0,0,0,1
5004.0,149.99,0,0,1,0,0,1,0,0,0,0,0
5357.0,149.74,0,1,0,0,0,1,0,0,0,0,0
4587.0,133.75,1,0,0,0,0,0,0,0,0,0,1
539.0,149.99,0,1,0,0,0,0,0,0,0,0,1
826.0,184.44,0,1,0,0,0,0,0,0,0,0,1
396.0,178.14,1,0,0,0,0,0,0,0,0,0,1
836.0,149.99,0,0,1,0,0,0,0,0,0,0,1
11346.0,149.99,0,0,1,0,0,1,0,0,0,0,0
983.0,150.0,0,1,0,0,0,0,1,0,0,0,0
476.0,149.99,0,0,1,0,0,0,0,0,1,0,0
1785.0,10.0,1,0,0,1,0,0,0,0,0,0,0
125.0,149.99,0,1,0,0,0,0,0,0,0,0,1
68.0,149.99,0,0,1,0,0,0,0,0,0,0,1
409.0,178.8,1,0,0,0,0,0,0,0,0,0,1
321.0,138.0,0,1,0,0,0,1,0,0,0,0,0
666.0,150.13,0,0,1,0,0,1,0,0,0,0,0
150.0,150.28,0,1,0,1,0,0,0,0,0,0,0
320.0,79.41,0,0,1,0,0,0,0,0,0,0,1
3230.0,174.0,0,1,0,0,0,0,0,0,0,0,1
3461.0,239.96,1,0,0,0,0,0,0,0,0,0,1
220.0,184.44,0,1,0,0,0,0,0,0,0,0,1
1127.0,174.28,0,1,0,0,0,0,0,0,0,0,1
289.0,62.58,0,0,1,0,0,0,0,0,0,0,1
372.0,27.0,0,0,1,0,0,0,1,0,0,0,0
3702.0,174.0,0,0,1,0,1,0,0,0,0,0,0
130.0,181.95,1,0,0,1,0,0,0,0,0,0,0
544.0,174.0,0,1,0,0,0,0,0,0,0,0,1
1305.0,184.44,0,0,1,0,0,0,0,0,0,0,1
2505.0,212.97,1,0,0,0,0,1,0,0,0,0,0
263.0,149.99,0,1,0,0,1,0,0,0,0,0,0
110.0,174.0,0,1,0,0,1,0,0,0,0,0,0
0.0,183.92,0,1,0,0,0,0,0,0,0,0,1
1283.0,184.44,0,0,1,0,0,0,0,0,0,0,1
1741.0,62.58,0,0,1,0,0,0,0,0,0,0,1
21.0,137.99,0,1,0,0,1,0,0,0,0,0,0
6132.0,174.0,0,0,1,0,0,1,0,0,0,0,0
12677.0,150.42,0,1,0,0,0,0,0,0,0,0,1
661.0,186.9,0,1,0,0,0,0,0,0,0,0,1
148.0,62.56,0,0,1,0,0,0,0,0,0,0,1
1972.0,184.04,0,1,0,0,0,0,1,0,0,0,0
4440.0,138.0,0,1,0,0,0,1,0,0,0,0,0
198.0,141.26,1,0,0,0,0,0,0,0,0,0,1
3555.0,184.44,0,0,1,0,0,0,0,0,0,0,1
1615.0,149.99,0,0,1,0,0,1,0,0,0,0,0
339.0,212.94,1,0,0,0,0,0,1,0,0,0,0
202.0,149.99,0,0,1,0,0,0,0,0,0,0,1
536.0,62.58,0,0,1,1,0,0,0,0,0,0,0
190.0,174.0,0,0,1,0,1,0,0,0,0,0,0
785.0,62.58,0,0,1,0,0,1,0,0,0,0,0
366.0,137.98,0,1,0,0,0,1,0,0,0,0,0
0.0,43.82,1,0,0,0,0,0,0,0,0,0,1
1146.0,174.0,0,0,1,0,0,0,0,0,0,0,1
10438.0,55.0,0,0,1,0,0,0,0,0,0,0,1
1171.0,174.22,0,0,1,0,0,0,0,1,0,0,0
1132.0,221.47,1,0,0,0,1,0,0,0,0,0,0
514.0,184.45,0,0,1,0,0,1,0,0,0,0,0
5018.0,184.44,0,1,0,0,0,1,0,0,0,0,0
827.0,184.44,0,0,1,0,1,0,0,0,0,0,0
10796.0,64.8,0,0,1,0,0,1,0,0,0,0,0
1277.0,149.99,0,0,1,0,0,0,0,0,0,0,1
3076.0,182.55,0,1,0,0,0,0,0,1,0,0,0
8158.0,174.0,0,0,1,0,0,0,0,0,0,0,1
530.0,34.2,0,0,1,0,1,0,0,0,0,0,0
761.0,174.47,0,1,0,0,0,0,0,0,0,0,1
504.0,184.44,0,1,0,0,0,0,0,0,0,0,1
692.0,144.45,1,0,0,0,0,0,1,0,0,0,0
429.0,142.15,1,0,0,0,0,0,0,0,1,0,0
2377.0,65.88,0,0,1,0,0,0,0,0,0,1,0
7800.0,209.92,1,0,0,0,0,0,0,0,0,0,1
577.0,62.58,0,0,1,0,0,0,0,1,0,0,0
372.0,178.91,1,0,0,0,1,0,0,0,0,0,0
402.0,122.56,1,0,0,0,0,1,0,0,0,0,0
697.0,174.0,0,1,0,0,0,0,0,0,0,0,1
2383.0,168.23,0,0,1,0,0,0,0,0,0,0,1
277.0,36.19,0,1,0,0,0,0,0,0,0,0,1
588.0,285.23,1,0,0,0,0,0,0,1,0,0,0
742.0,86.25,0,0,1,0,0,0,0,1,0,0,0
17266.0,184.8,1,0,0,0,0,0,1,0,0,0,0
2303.0,174.0,0,1,0,0,0,1,0,0,0,0,0
11916.0,64.8,0,1,0,0,0,1,0,0,0,0,0
2659.0,155.0,0,0,1,0,1,0,0,0,0,0,0
499.0,36.0,0,0,1,0,0,0,0,1,0,0,0
18983.0,209.78,1,0,0,0,0,0,1,0,0,0,0
1373.0,61.2,0,0,1,0,0,0,0,0,0,0,1
15877.0,59.04,0,1,0,0,0,0,0,0,0,0,1
1904.0,62.58,0,0,1,0,0,1,0,0,0,0,0
1322.0,86.25,0,0,1,0,0,1,0,0,0,0,0
45.0,174.0,0,1,0,1,0,0,0,0,0,0,0
714.0,177.69,1,0,0,0,0,0,0,0,0,0,1
1804.0,149.98,0,0,1,0,0,1,0,0,0,0,0
3216.0,93.67,0,0,1,0,0,1,0,0,0,0,0
144.0,143.28,0,0,1,0,0,1,0,0,0,0,0
1383.0,243.14,1,0,0,1,0,0,0,0,0,0,0
47.0,212.76,1,0,0,0,0,1,0,0,0,0,0
289.0,118.58,0,1,0,1,0,0,0,0,0,0,0
2238.0,128.36,1,0,0,0,0,0,0,0,0,0,1
457.0,149.99,0,0,1,0,0,0,0,0,0,0,1
1995.0,62.58,0,0,1,0,0,0,0,0,1,0,0
58.0,36.0,0,0,1,0,0,1,0,0,0,0,0
13482.0,64.8,0,0,1,0,0,0,0,0,0,0,1
89.0,149.99,0,0,1,0,0,0,0,0,0,0,1
468.0,149.99,0,0,1,0,0,0,0,0,0,0,1
143.0,178.24,1,0,0,0,0,0,0,0,0,0,1
3570.0,209.29,1,0,0,0,0,1,0,0,0,0,0
497.0,174.0,0,1,0,1,0,0,0,0,0,0,0
0.0,4.19,0,0,1,0,0,0,0,0,0,0,1
800.0,62.57,0,0,1,0,0,0,0,0,0,1,0
500.0,149.99,0,1,0,0,0,1,0,0,0,0,0
291.0,149.99,0,0,1,0,0,0,0,0,0,0,1
426.0,174.0,0,1,0,0,0,0,0,0,0,0,1
147.0,174.0,0,0,1,0,0,1,0,0,0,0,0
967.0,36.0,0,1,0,0,0,0,0,0,0,0,1
732.0,215.76,0,0,1,0,1,0,0,0,0,0,0
383.0,180.58,1,0,0,0,0,1,0,0,0,0,0
124.0,347.19,0,1,0,0,0,0,0,0,0,0,1
814.0,149.53,0,1,0,0,1,0,0,0,0,0,0
7567.0,347.05,0,1,0,0,0,0,0,0,1,0,0
1.0,49.36,0,1,0,0,0,0,0,0,1,0,0
158.0,27.0,0,0,1,0,0,1,0,0,0,0,0
3626.0,160.97,0,1,0,0,0,0,0,0,0,0,1
7585.0,118.91,0,0,1,0,0,0,1,0,0,0,0
0.0,149.61,1,0,0,0,1,0,0,0,0,0,0
74.0,184.44,0,1,0,0,0,0,0,0,0,0,1
1745.0,216.52,0,1,0,0,0,0,1,0,0,0,0
9094.0,184.37,1,0,0,0,0,0,1,0,0,0,0
843.0,36.0,0,0,1,0,1,0,0,0,0,0,0
255.0,149.99,0,1,0,0,0,0,0,0,0,0,1
4588.0,174.6,0,0,1,0,1,0,0,0,0,0,0
4307.0,174.6,0,0,1,0,0,0,0,0,0,0,1
655.0,149.99,0,0,1,0,0,0,1,0,0,0,0
935.0,118.63,0,1,0,0,0,0,0,1,0,0,0
2408.0,149.99,0,1,0,0,0,1,0,0,0,0,0
317.0,118.32,0,0,1,0,0,0,0,0,0,0,1
927.0,149.63,0,1,0,0,0,0,0,0,0,0,1
79.0,149.99,0,1,0,1,0,0,0,0,0,0,0
2250.0,149.99,0,1,0,1,0,0,0,0,0,0,0
7.0,62.58,0,0,1,0,0,1,0,0,0,0,0
10865.0,0.0,0,0,1,0,0,0,0,0,0,0,1
1398.0,36.0,0,0,1,0,0,0,0,1,0,0,0
994.0,62.58,0,0,1,0,0,0,0,0,0,0,1
3177.0,146.4,0,0,1,0,0,0,1,0,0,0,0
261.0,149.99,0,1,0,0,0,0,0,0,0,0,1
234.0,149.99,1,0,0,0,0,1,0,0,0,0,0
1315.0,149.99,0,1,0,0,0,0,0,0,1,0,0
393.0,149.99,0,1,0,0,0,0,0,0,0,0,1
840.0,149.99,0,1,0,0,0,0,1,0,0,0,0
804.0,178.83,1,0,0,0,0,0,0,0,1,0,0
2542.0,119.0,0,1,0,0,0,0,0,0,0,0,1
0.0,149.99,0,0,1,0,0,1,0,0,0,0,0
